method  start_time                end_time                  total_time           total_process        motif N matrix N
CUDA    2024-02-21 10:39:37       2024-02-21 10:39:42       4.711344480514526    6.584262646000001    5       8
NORMAL  2024-02-21 10:43:06       2024-02-21 10:43:06       0.6747841835021973   0.6750291000000002   5       8       
NORMAL  2024-02-21 10:43:59       2024-02-21 10:50:59       420.9414291381836    421.09412328999997   5       10      
NORMAL  2024-02-21 10:51:42       2024-02-21 12:53:13       7291.257677078247    7293.885027347       6       10
MPI     2024-02-21 13:19:33       2024-02-21 13:19:55       22.020082473754883   22.019097455         5       10      
MPI     2024-02-21 13:19:33       2024-02-21 13:20:04       30.925756454467773   30.884620514999998   5       10      
MPI     2024-02-21 13:19:33       2024-02-21 13:20:05       31.917139530181885   31.91215769          5       10      
MPI     2024-02-21 13:19:33       2024-02-21 13:20:09       36.55388784408569    36.521887382         5       10      
MPI     2024-02-21 13:19:33       2024-02-21 13:20:15       41.788222312927246   41.786928399000004   5       10      
MPI     2024-02-21 13:19:33       2024-02-21 13:20:16       43.02978229522705    43.022860098         5       10      
MPI     2024-02-21 13:27:55       2024-02-21 13:34:02       367.13423562049866   367.09647378         6       10      
MPI     2024-02-21 13:27:55       2024-02-21 13:34:31       395.91713643074036   395.904190738        6       10      
MPI     2024-02-21 13:27:55       2024-02-21 13:35:31       455.98065757751465   455.25430678199996   6       10      
MPI     2024-02-21 13:27:55       2024-02-21 13:40:20       744.6765553951263    744.564295569        6       10      
MPI     2024-02-21 13:27:55       2024-02-21 13:41:28       812.8319194316864    812.702032774        6       10      
MPI     2024-02-21 13:27:55       2024-02-21 13:41:43       828.0052738189697    827.381042179        6       10      
MPI     2024-02-21 13:44:55       2024-02-21 13:45:15       19.97613501548767    19.984050984         4       10      
MPI     2024-02-21 13:44:55       2024-02-21 13:45:15       19.983720064163208   19.992039721         4       10      
MPI     2024-02-21 13:44:55       2024-02-21 13:45:15       20.227702140808105   20.23387767          4       10      
MPI     2024-02-21 13:44:55       2024-02-21 13:45:16       20.553856134414673   20.561374458000003   4       10      
MPI     2024-02-21 13:44:55       2024-02-21 13:45:16       20.55769658088684    20.475853103         4       10      
MPI     2024-02-21 13:44:55       2024-02-21 13:45:16       20.665842056274414   20.672600841         4       10      
CUDA    2024-02-21 15:19:39       2024-02-21 15:20:11       32.10268545150757    31.95329229          4       10
CUDA    2024-02-21 15:20:41       2024-02-21 15:23:28       166.94189524650574   166.966283162        5       10
CUDA    2024-02-21 15:23:49       2024-02-21 15:35:37       707.7908954620361    708.061897927        6       10
NORMAL  2024-02-21 15:37:26       2024-02-21 15:37:55       29.009599208831787   29.025010075         4       10
